dataset,alpha,method,method_key,method_params,set_size_metric_type,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size
inaturalist,0.2,Standard,standard,score=softmax,mean,0.16040284942274624,0.17847784995834914,0.7127112200921467,0.8009422332301019,2.8069310143422674
inaturalist,0.2,classwise,classwise,,mean,0.005281257676246622,0.00859875356844821,0.9694470409892963,0.8819637271376444,6653.489043199862
inaturalist,0.2,clustered,clustered,,mean,0.16113976909850158,0.17927177656500062,0.7115932325044159,0.7999149124109125,2.7778138317433534
inaturalist,0.2,prevalence-adjusted,prevalence-adjusted,,mean,0.09702775730778679,0.12487091485656902,0.7845196466470746,0.801457096514037,3.3442576849027623
inaturalist,0.2,Interp-Q,cvx-cw_weight=0,weight=0,mean,0.16040284942274624,0.17847784995834914,0.7127112200921467,0.8009422332301019,2.8069310143422674
inaturalist,0.2,Interp-Q,cvx-cw_weight=0.25,weight=0.25,mean,0.1461557356914763,0.16801609352934269,0.7251704364792938,0.794224298387623,2.6903757544292297
inaturalist,0.2,Interp-Q,cvx-cw_weight=0.5,weight=0.5,mean,0.13031196266273642,0.15540087206049047,0.7415264753658544,0.794542014809589,2.907261989746252
inaturalist,0.2,Interp-Q,cvx-cw_weight=0.75,weight=0.75,mean,0.10673053303856546,0.13474074607253345,0.7705844803946441,0.8017705985404835,3.5448980033313866
inaturalist,0.2,Interp-Q,cvx-cw_weight=0.9,weight=0.9,mean,0.08155244411692458,0.11118897388692148,0.8047634310410896,0.8143366918953544,4.7567438942609295
inaturalist,0.2,Interp-Q,cvx-cw_weight=0.95,weight=0.95,mean,0.06669123065585851,0.09611137801550301,0.8274053511712113,0.82303873722028,6.000367750448872
inaturalist,0.2,Interp-Q,cvx-cw_weight=0.975,weight=0.975,mean,0.054777695897813804,0.08255978391242225,0.8478608240327946,0.8311248895891257,7.605100915049646
inaturalist,0.2,Interp-Q,cvx-cw_weight=0.99,weight=0.99,mean,0.043723900761483664,0.0694398293937653,0.868535054882465,0.8400535242047024,10.418305319402082
inaturalist,0.2,Interp-Q,cvx-cw_weight=0.999,weight=0.999,mean,0.025423728813559324,0.04584194210374816,0.9064996123680226,0.8567038433780905,22.6062690635343
inaturalist,0.2,Interp-Q,cvx-cw_weight=1,weight=1,mean,0.005281257676246622,0.00859875356844821,0.9694470409892963,0.8819637271376444,6653.489043199862
inaturalist,0.1,Standard,standard,score=softmax,mean,0.06435765168263326,0.12171356366846615,0.8421568646180159,0.8992699049553767,10.035001189780864
inaturalist,0.1,classwise,classwise,,mean,0.00012281994595922377,0.0021478197707076882,0.9924874742470691,0.9534538808692379,7427.5672875159535
inaturalist,0.1,clustered,clustered,,mean,0.05981331368214198,0.11831068313965078,0.8448055147189858,0.880542878390243,8.046379821316547
inaturalist,0.1,prevalence-adjusted,prevalence-adjusted,,mean,0.04114468189633996,0.08920866363827948,0.8802877828166166,0.8996543432518902,10.976226015099401
inaturalist,0.1,Interp-Q,cvx-cw_weight=0,weight=0,mean,0.06435765168263326,0.12171356366846615,0.8421568646180159,0.8992699049553767,10.035001189780864
inaturalist,0.1,Interp-Q,cvx-cw_weight=0.25,weight=0.25,mean,0.057971014492753624,0.11421796644466731,0.8503159983518922,0.8939992854885062,9.554805633071581
inaturalist,0.1,Interp-Q,cvx-cw_weight=0.5,weight=0.5,mean,0.050724637681159424,0.10383039997924289,0.8627357279782683,0.8960205344221781,10.600449953490385
inaturalist,0.1,Interp-Q,cvx-cw_weight=0.75,weight=0.75,mean,0.042495701301891425,0.09031163636875529,0.8796476320461991,0.9024189284510815,13.195491812144418
inaturalist,0.1,Interp-Q,cvx-cw_weight=0.9,weight=0.9,mean,0.03328420535494964,0.07618181178969494,0.8972151021498082,0.9097146284706266,17.898782097042854
inaturalist,0.1,Interp-Q,cvx-cw_weight=0.95,weight=0.95,mean,0.027388847948906902,0.06619560383476394,0.9097799742553044,0.9154154780646,22.559543124148224
inaturalist,0.1,Interp-Q,cvx-cw_weight=0.975,weight=0.975,mean,0.022967329894374847,0.057225822057893096,0.921336170527651,0.9212877207382331,28.339996106171718
inaturalist,0.1,Interp-Q,cvx-cw_weight=0.99,weight=0.99,mean,0.016826332596413657,0.04697493144679161,0.9343082591563628,0.9273893127217088,38.09771345750319
inaturalist,0.1,Interp-Q,cvx-cw_weight=0.999,weight=0.999,mean,0.008843036109064112,0.02946369883084421,0.9568950605976507,0.9379739949425316,77.17208557769268
inaturalist,0.1,Interp-Q,cvx-cw_weight=1,weight=1,mean,0.00012281994595922377,0.0021478197707076882,0.9924874742470691,0.9534538808692379,7427.5672875159535
inaturalist,0.05,Standard,standard,score=softmax,mean,0.028494227462539917,0.07696478991495177,0.9116964613177188,0.9484803305628579,30.966556341532005
inaturalist,0.05,classwise,classwise,,mean,0.0,0.000468236947462539,0.9984912063889163,0.9857450073179856,7830.816232937461
inaturalist,0.05,clustered,clustered,,mean,0.02702038811102923,0.07307642968858101,0.9156618548692947,0.9413992817113258,28.64334696173232
inaturalist,0.05,prevalence-adjusted,prevalence-adjusted,,mean,0.018300171947924344,0.058750949870652595,0.9312009696025297,0.9483902828173357,32.03590974971337
inaturalist,0.05,Interp-Q,cvx-cw_weight=0,weight=0,mean,0.028494227462539917,0.07696478991495177,0.9116964613177188,0.9484803305628579,30.966556341532005
inaturalist,0.05,Interp-Q,cvx-cw_weight=0.25,weight=0.25,mean,0.02702038811102923,0.07304622013165168,0.9158986577739441,0.946966205925977,30.794838514288188
inaturalist,0.05,Interp-Q,cvx-cw_weight=0.5,weight=0.5,mean,0.023949889462048637,0.06646063076437052,0.9233219569523317,0.9498303591811179,34.4756311246674
inaturalist,0.05,Interp-Q,cvx-cw_weight=0.75,weight=0.75,mean,0.01915991156963891,0.05710567131830982,0.9338321266282599,0.954393848925821,42.74400242282648
inaturalist,0.05,Interp-Q,cvx-cw_weight=0.9,weight=0.9,mean,0.014861213461066078,0.04743826207139862,0.9448079870993275,0.9595310086098654,56.905358340363854
inaturalist,0.05,Interp-Q,cvx-cw_weight=0.95,weight=0.95,mean,0.012159174649963155,0.040534063187084024,0.9526084699099095,0.9634540812402065,70.38153027451489
inaturalist,0.05,Interp-Q,cvx-cw_weight=0.975,weight=0.975,mean,0.01043969540653402,0.035873922008324614,0.957951457088818,0.966168481815193,86.53105328055032
inaturalist,0.05,Interp-Q,cvx-cw_weight=0.99,weight=0.99,mean,0.007860476541390321,0.029095544136084617,0.9656743382084333,0.9700048746817584,112.79105284790275
inaturalist,0.05,Interp-Q,cvx-cw_weight=0.999,weight=0.999,mean,0.004421518054532056,0.017969404398897014,0.978410500189411,0.9762334245112112,209.53767278863003
inaturalist,0.05,Interp-Q,cvx-cw_weight=1,weight=1,mean,0.0,0.000468236947462539,0.9984912063889163,0.9857450073179856,7830.816232937461
inaturalist,0.01,Standard,standard,score=softmax,mean,0.004175878162613608,0.01819111792441065,0.9812977289336002,0.9906513632055374,286.9145953663444
inaturalist,0.01,classwise,classwise,,mean,0.0,0.0,1.0,0.9999999999999999,8142.0
inaturalist,0.01,clustered,clustered,,mean,0.004175878162613608,0.01819111792441065,0.9812977289336002,0.9906513632055374,286.9145953663444
inaturalist,0.01,prevalence-adjusted,prevalence-adjusted,,mean,0.0034389584868582657,0.01596703933796558,0.9835067959653183,0.9902082606090321,271.3955480563307
inaturalist,0.01,Interp-Q,cvx-cw_weight=0,weight=0,mean,0.004175878162613608,0.01819111792441065,0.9812977289336002,0.9906513632055374,286.9145953663444
inaturalist,0.01,Interp-Q,cvx-cw_weight=0.25,weight=0.25,mean,0.0040530582166543845,0.01741583917621702,0.9820974764512916,0.9911046235285352,307.6046682674627
inaturalist,0.01,Interp-Q,cvx-cw_weight=0.5,weight=0.5,mean,0.0036845983787767134,0.0159653568385425,0.9835858548240513,0.991818507647469,338.55002487723624
inaturalist,0.01,Interp-Q,cvx-cw_weight=0.75,weight=0.75,mean,0.0031933185949398184,0.01412116873350573,0.9854899981995247,0.9929891025631269,396.671382525364
inaturalist,0.01,Interp-Q,cvx-cw_weight=0.9,weight=0.9,mean,0.0029476787030213707,0.011802602250831642,0.9878782872851853,0.9942890152902154,484.089622947628
