dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,cov_below50,FracBelow50%,0.1,standard,Standard,Standard,,0.06435765168263326,10.035001189780864,blue,X,0.8,mean
inaturalist,cov_below50,FracBelow50%,0.1,classwise,Classwise,Classwise,,0.00012281994595922377,7427.5672875159535,red,X,0.8,mean
inaturalist,cov_below50,FracBelow50%,0.1,clustered,Clustered,Clustered,,0.05981331368214198,8.046379821316547,purple,P,0.8,mean
inaturalist,cov_below50,FracBelow50%,0.1,rc3p,RC3P,RC3P,,0.12417096536477525,680.0038721959028,#FF5733,D,0.8,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.00012281994595922377,7427.5910398684755,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.00012281994595922377,7428.267419473468,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.005649717514124294,5777.328639107015,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.03156472611152051,15.336102277889545,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.032056005895357405,14.130594674108206,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.033038565463031196,13.749713370973673,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.03696880373372636,12.997512276375279,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.04384672070744289,11.576892292383238,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.0625153524932449,9.484392238302291,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.06435765168263326,10.026997209423065,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.0018422991893883567,7049.025050295282,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.0040530582166543845,6810.96067233435,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.022598870056497175,3356.085426266035,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.035126504544338,13.753325978324355,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.03230164578727585,14.269885564713263,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.0325472856791943,13.984857334458217,gray,o,0.5,mean
