dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,macro_cov,MacroCov,0.2,standard,Standard,Standard,,0.7127112200921467,2.8069310143422674,blue,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.2,classwise,Classwise,Classwise,,0.9694470409892963,6653.489043199862,red,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.2,clustered,Clustered,Clustered,,0.7115932325044159,2.7778138317433534,purple,P,0.8,mean
inaturalist,macro_cov,MacroCov,0.2,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.7845196466470746,3.3442576849027623,orange,^,0.8,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.7127112200921467,2.8069310143422674,gray,o,0.3,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.7251704364792938,2.6903757544292297,gray,o,0.475,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.7415264753658544,2.907261989746252,gray,o,0.6499999999999999,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.7705844803946441,3.5448980033313866,gray,o,0.825,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.8047634310410896,4.7567438942609295,gray,o,0.9299999999999999,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.8274053511712113,6.000367750448872,gray,o,0.9649999999999999,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.8478608240327946,7.605100915049646,gray,o,0.9824999999999999,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.868535054882465,10.418305319402082,gray,o,0.9929999999999999,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.9064996123680226,22.6062690635343,gray,o,0.9992999999999999,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.9694470409892963,6653.489043199862,gray,o,1.0,mean
inaturalist,macro_cov,MacroCov,0.1,standard,Standard,Standard,,0.8421568646180159,10.035001189780864,blue,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,classwise,Classwise,Classwise,,0.9924874742470691,7427.5672875159535,red,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,clustered,Clustered,Clustered,,0.8448055147189858,8.046379821316547,purple,P,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.8802877828166166,10.976226015099401,orange,^,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.8421568646180159,10.035001189780864,gray,o,0.3,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.8503159983518922,9.554805633071581,gray,o,0.475,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.8627357279782683,10.600449953490385,gray,o,0.6499999999999999,mean
