dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,train_marginal_cov,MarginalCov,0.1,standard,Standard,Standard,,0.8992699049553767,10.035001189780864,blue,X,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,classwise,Classwise,Classwise,,0.9534538808692379,7427.5672875159535,red,X,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,clustered,Clustered,Clustered,,0.880542878390243,8.046379821316547,purple,P,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,rc3p,RC3P,RC3P,,0.8442648553215506,680.0038721959028,#FF5733,D,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.95373640925334,7427.5910398684755,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.9541033446361166,7428.267419473468,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.9473167973069778,5777.328639107015,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.903795613115348,15.336102277889545,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.9001096916939965,14.130594674108206,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.8985904188073837,13.749713370973673,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.8971791165654176,12.997512276375279,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.8961041621763739,11.576892292383238,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.8944736199340275,9.484392238302291,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.8992258707978407,10.026997209423065,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.898023384443315,7049.025050295282,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.8915447732455746,6810.96067233435,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.8985961097427012,3356.085426266035,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.8987133872548212,13.753325978324355,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.9012388092754348,14.269885564713263,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.9000909140445856,13.984857334458217,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.9005493344060502,13.669868258809787,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.9031074414277711,12.965366560668008,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.9007538788490037,10.488221169446428,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.9000470738102213,10.169100309343024,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.8992699049553767,10.035001189780864,gray,o,0.3,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.8939992854885062,9.554805633071581,gray,o,0.475,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.8960205344221781,10.600449953490385,gray,o,0.6499999999999999,mean
inaturalist,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.9024189284510815,13.195491812144418,gray,o,0.825,mean
