alpha,method,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size_mean
0.2,standard,0.16040284942274624,0.17847784995834914,0.7127112200921467,0.8009422332301019,2.8069310143422674
0.2,classwise,0.005281257676246622,0.00859875356844821,0.9694470409892963,0.8819637271376444,6653.489043199862
0.2,classwise-exact,0.1440677966101695,0.15869831166503387,0.7452617076455578,0.781644838260101,2785.744262011379
0.2,clustered,0.16113976909850158,0.17927177656500062,0.7115932325044159,0.7999149124109125,2.7778138317433534
0.2,prevalence-adjusted,0.09702775730778679,0.12487091485656902,0.7845196466470746,0.801457096514037,3.3442576849027623
0.2,fuzzy-rarity-1e-15,0.005404077622205846,0.00861058594263739,0.9694498096907429,0.8833186402833705,6646.523265623986
0.2,fuzzy-rarity-1e-10,0.04114468189633996,0.05934013055179681,0.8886603835258308,0.8521194774408479,1609.123629047959
0.2,fuzzy-rarity-1e-05,0.08486858265782363,0.11471703506006348,0.7985052433658472,0.8046548471126426,3.9674865338438576
0.2,fuzzy-rarity-0.0001,0.08683370179317121,0.11695750293467878,0.7957095196789538,0.802398587457812,3.7516386527354144
0.2,fuzzy-rarity-0.001,0.08818472119872267,0.11837620754526552,0.7941122296728613,0.802255685168036,3.6780669305816946
0.2,fuzzy-rarity-0.01,0.09616801768607222,0.12550461366152857,0.7844318820225672,0.7986129830091564,3.5260129361628487
0.2,fuzzy-rarity-0.1,0.113608450012282,0.141692372531847,0.7622448683448458,0.7948752876027216,3.1786185562550027
0.2,fuzzy-rarity-10,0.15733235077376567,0.1761437833401889,0.7154400126821813,0.7925225477233724,2.6732429099876693
0.2,fuzzy-rarity-1000,0.16040284942274624,0.17847349489810416,0.7127118116234145,0.8008770919566964,2.8045298202349276
0.2,fuzzy-RErarity-1e-15,0.09076394006386637,0.09387359181745565,0.8389693373754565,0.7482311287309485,3794.9121509074785
0.2,fuzzy-RErarity-1e-10,0.0738147875214935,0.09487336412320684,0.8338869673400574,0.7955843649817984,1021.3583187314773
0.2,fuzzy-RErarity-1e-05,0.0929746990911324,0.12278762458059343,0.7866980287254178,0.7927869508108445,3.535249962143336
0.2,fuzzy-RErarity-0.0001,0.09334315892901007,0.12269708914333381,0.7876489150636165,0.7952329431429295,3.4838946935773465
0.2,fuzzy-RErarity-0.001,0.0955539179562761,0.1255916971737323,0.7838077694558001,0.7940604526715622,3.4030544919635712
0.2,fuzzy-RErarity-0.01,0.09064112011790715,0.12082961173158037,0.7910157935652278,0.8055080856008829,3.768944556211738
0.2,fuzzy-RErarity-0.1,0.105379513633014,0.13334530915288037,0.7744040781701236,0.807661137434973,3.583035888117334
0.2,fuzzy-RErarity-10,0.14038319823139278,0.16219209460170958,0.7349650423967311,0.8100405069520393,3.137928050706297
0.2,fuzzy-RErarity-1000,0.1492262343404569,0.16933192410018377,0.7253230082060803,0.8108103608027784,3.0821814091331907
0.2,cvx-cw_weight=0,0.16040284942274624,0.17847784995834914,0.7127112200921467,0.8009422332301019,2.8069310143422674
0.2,cvx-cw_weight=0.25,0.1461557356914763,0.16801609352934269,0.7251704364792938,0.794224298387623,2.6903757544292297
0.2,cvx-cw_weight=0.5,0.13031196266273642,0.15540087206049047,0.7415264753658544,0.794542014809589,2.907261989746252
0.2,cvx-cw_weight=0.75,0.10673053303856546,0.13474074607253345,0.7705844803946441,0.8017705985404835,3.5448980033313866
0.2,cvx-cw_weight=0.9,0.08155244411692458,0.11118897388692148,0.8047634310410896,0.8143366918953544,4.7567438942609295
0.2,cvx-cw_weight=0.95,0.06669123065585851,0.09611137801550301,0.8274053511712113,0.82303873722028,6.000367750448872
0.2,cvx-cw_weight=0.975,0.054777695897813804,0.08255978391242225,0.8478608240327946,0.8311248895891257,7.605100915049646
0.2,cvx-cw_weight=0.99,0.043723900761483664,0.0694398293937653,0.868535054882465,0.8400535242047024,10.418305319402082
0.2,cvx-cw_weight=0.999,0.025423728813559324,0.04584194210374816,0.9064996123680226,0.8567038433780905,22.6062690635343
0.2,cvx-cw_weight=1,0.005281257676246622,0.00859875356844821,0.9694470409892963,0.8819637271376444,6653.489043199862
0.1,standard,0.06435765168263326,0.12171356366846615,0.8421568646180159,0.8992699049553767,10.035001189780864
0.1,classwise,0.00012281994595922377,0.0021478197707076882,0.9924874742470691,0.9534538808692379,7427.5672875159535
0.1,classwise-exact,0.0883075411446819,0.12547568577317372,0.8419411529150723,0.8805321867743897,4723.596101845242
0.1,clustered,0.05981331368214198,0.11831068313965078,0.8448055147189858,0.880542878390243,8.046379821316547
0.1,prevalence-adjusted,0.04114468189633996,0.08920866363827948,0.8802877828166166,0.8996543432518902,10.976226015099401
0.1,fuzzy-rarity-1e-15,0.00012281994595922377,0.0021066009867648987,0.9925850352712471,0.9541033446361166,7428.267419473468
0.1,fuzzy-rarity-1e-10,0.005649717514124294,0.013295121550933138,0.9784760166151057,0.9473167973069778,5777.328639107015
0.1,fuzzy-rarity-1e-05,0.03156472611152051,0.07565449633084782,0.8969017424208497,0.903795613115348,15.336102277889545
0.1,fuzzy-rarity-0.0001,0.032056005895357405,0.0765572503567478,0.8955579125639345,0.9001096916939965,14.130594674108206
