dataset,alpha,method,method_key,method_params,set_size_metric_type,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size
plantnet,0.1,Standard,standard,score=softmax,mean,0.4227567067530065,0.4201996190879923,0.5002789946062719,0.909638190007535,1.6562098225764978
plantnet,0.1,classwise,classwise,,mean,0.0,0.005418280532837401,0.9773954472542068,0.9154116395817361,779.9806184109026
plantnet,0.1,clustered,clustered,,mean,0.42183163737280294,0.4187849292051991,0.49914467279812014,0.8816560581230417,1.6600989971715094
plantnet,0.1,rc3p,rc3p,,mean,0.16466234967622573,0.18456250573628497,0.7644681103128192,0.916277975198136,121.83540113139624
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,mean,0.0,0.0073377385006302255,0.9710576735884177,0.9084556236672022,717.8237014656725
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,mean,0.0,0.007117898777866528,0.9715962563303157,0.908832373153139,717.8936744664438
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,mean,0.004625346901017576,0.012194646515573195,0.9650248177563049,0.9082027470557297,675.0813191051684
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,mean,0.12488436632747456,0.1400917982884421,0.8175370919252527,0.9034002274447197,5.325469272306505
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,mean,0.1396854764107308,0.15433801276113918,0.8018703689883369,0.9043796468562164,4.521760092568783
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,mean,0.1868640148011101,0.20014077722627305,0.7503683220245755,0.9023861059748537,3.3066019542298792
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,mean,0.24606845513413506,0.25854925360978936,0.6841738850330098,0.9011148220617051,2.738364618153767
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,mean,0.31174838112858466,0.3233356475374156,0.6095545057761373,0.8995809741000521,2.298437901774235
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,mean,0.41905642923219244,0.416817313307601,0.5045468572092702,0.8935470961631382,1.678291334533299
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,mean,0.4283071230342276,0.42384090967519367,0.4965914252091612,0.9065061754577967,1.6395281563383903
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,mean,0.0,0.007551750917258608,0.9716033655393447,0.9007834207887055,748.3999742864489
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,mean,0.0,0.0074892358784817,0.9716537566250228,0.9008154895703989,748.3980136281821
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,mean,0.004625346901017576,0.012661373124753348,0.9647996324182795,0.9014686811565829,703.2362432501928
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,mean,0.11933395004625347,0.13349894079343325,0.8254773937583663,0.9051983449509764,5.722647210079712
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,mean,0.13506012950971322,0.14924870544546207,0.8085228837482585,0.9071309407603001,4.90183851889946
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,mean,0.18316373728029603,0.19581586454727365,0.755692471332075,0.9066555344727186,3.439669580869118
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,mean,0.242368177613321,0.25515701915344957,0.6886497624550215,0.9072064673473211,2.828201337104654
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,mean,0.299722479185939,0.30928332224735655,0.6263401330336797,0.9083362882905311,2.4502121367960914
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,mean,0.37835337650323775,0.38139935300569056,0.5448930160270308,0.9124432469230945,1.9225700694265877
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,mean,0.42090656799259946,0.41877094361958883,0.5023002974806289,0.9091987862239929,1.6735021856518386
plantnet,0.1,Interp-Q,cvx-cw_weight=0,weight=0,mean,0.4227567067530065,0.4201996190879923,0.5002789946062719,0.909638190007535,1.6562098225764978
plantnet,0.1,Interp-Q,cvx-cw_weight=0.25,weight=0.25,mean,0.38575393154486587,0.39419867119920904,0.5284576367009294,0.9067810812708574,1.6933337618925173
plantnet,0.1,Interp-Q,cvx-cw_weight=0.5,weight=0.5,mean,0.34782608695652173,0.3611609771883666,0.563922185568878,0.9053760995462994,1.8139624582154796
plantnet,0.1,Interp-Q,cvx-cw_weight=0.75,weight=0.75,mean,0.2895467160037003,0.31081882090260443,0.619834234855168,0.9057262470982079,2.1168038056055543
plantnet,0.1,Interp-Q,cvx-cw_weight=0.9,weight=0.9,mean,0.23219241443108232,0.2520332482123205,0.6874961700864323,0.9070286052287563,2.6695808691180254
plantnet,0.1,Interp-Q,cvx-cw_weight=0.95,weight=0.95,mean,0.19611470860314523,0.2135002949167062,0.7341763369094458,0.907239074981082,3.2275970686551814
plantnet,0.1,Interp-Q,cvx-cw_weight=0.975,weight=0.975,mean,0.16651248843663274,0.18394614468926937,0.7687001511380442,0.908732107190791,3.9641295962972487
plantnet,0.1,Interp-Q,cvx-cw_weight=0.99,weight=0.99,mean,0.1332099907493062,0.1456104201475601,0.8145912125969353,0.9104985248877955,5.314541013113911
plantnet,0.1,Interp-Q,cvx-cw_weight=0.999,weight=0.999,mean,0.0730804810360777,0.07917299032921386,0.8928245475789206,0.9133351616581662,12.06123039341733
plantnet,0.1,Interp-Q,cvx-cw_weight=1,weight=1,mean,0.0,0.005418280532837401,0.9773954472542068,0.9154116395817361,779.9806184109026
plantnet,0.1,Standard,standard_softmax,score=softmax,mean,0.4227567067530065,0.4201996190879923,0.5002789946062719,0.909638190007535,1.6562098225764978
plantnet,0.2,Standard,standard,score=softmax,mean,0.5892691951896393,0.46583630638855916,0.3579244168453529,0.8106633555375006,1.0335240421702236
plantnet,0.2,classwise,classwise,,mean,0.0037002775208140612,0.014699873235807997,0.9297314339502115,0.8166434688120459,630.8534970429416
plantnet,0.2,clustered,clustered,,mean,0.5901942645698427,0.4665802028597729,0.3583542907346995,0.8074547045310533,1.0220172280791977
plantnet,0.2,rc3p,rc3p,,mean,0.1692876965772433,0.1565169552107237,0.73903740146816,0.8563053988985112,119.40765620982258
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,mean,0.013876040703052728,0.020864920301031927,0.915474807574609,0.8100805683164864,568.3472615068141
