dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet,cov_below50,FracBelow50%,0.1,standard,Standard,Standard,,0.4227567067530065,1.6562098225764978,blue,X,0.8,mean
plantnet,cov_below50,FracBelow50%,0.1,classwise,Classwise,Classwise,,0.0,779.9806184109026,red,X,0.8,mean
plantnet,cov_below50,FracBelow50%,0.1,clustered,Clustered,Clustered,,0.42183163737280294,1.6600989971715094,purple,P,0.8,mean
plantnet,cov_below50,FracBelow50%,0.1,rc3p,RC3P,RC3P,,0.16466234967622573,121.83540113139624,#FF5733,D,0.8,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.0,717.8237014656725,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.0,717.8936744664438,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.004625346901017576,675.0813191051684,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.12488436632747456,5.325469272306505,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.1396854764107308,4.521760092568783,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.1868640148011101,3.3066019542298792,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.24606845513413506,2.738364618153767,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.31174838112858466,2.298437901774235,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.41905642923219244,1.678291334533299,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.4283071230342276,1.6395281563383903,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.0,748.3999742864489,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.0,748.3980136281821,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.004625346901017576,703.2362432501928,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.11933395004625347,5.722647210079712,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.13506012950971322,4.90183851889946,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.18316373728029603,3.439669580869118,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.242368177613321,2.828201337104654,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.299722479185939,2.4502121367960914,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.37835337650323775,1.9225700694265877,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.42090656799259946,1.6735021856518386,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.4227567067530065,1.6562098225764978,gray,o,0.3,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.38575393154486587,1.6933337618925173,gray,o,0.475,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.34782608695652173,1.8139624582154796,gray,o,0.6499999999999999,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.2895467160037003,2.1168038056055543,gray,o,0.825,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.23219241443108232,2.6695808691180254,gray,o,0.9299999999999999,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.19611470860314523,3.2275970686551814,gray,o,0.9649999999999999,mean
