dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet,train_marginal_cov,MarginalCov,0.2,standard,Standard,Standard,,0.8106633555375006,1.0335240421702236,blue,X,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.2,classwise,Classwise,Classwise,,0.8166434688120459,630.8534970429416,red,X,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.2,clustered,Clustered,Clustered,,0.8074547045310533,1.0220172280791977,purple,P,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.2,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.7989705531162992,3.338197480071998,orange,^,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.8106633555375006,1.0335240421702236,gray,o,0.3,mean
plantnet,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.813192664130485,1.0612946772949345,gray,o,0.475,mean
plantnet,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.8140558418027782,1.1221072255078426,gray,o,0.6499999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.8126638538602384,1.2745885831833377,gray,o,0.825,mean
plantnet,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.8091418476706458,1.5396952944201594,gray,o,0.9299999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.8090512378841761,1.79448444330162,gray,o,0.9649999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.8101120250021168,2.1048791463101053,gray,o,0.9824999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.8111200125837634,2.642131653381332,gray,o,0.9929999999999999,mean
