dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,standard,Standard,Standard,,0.8013251799918257,1.315939195774515,blue,X,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,classwise,Classwise,Classwise,,0.8258309806017543,262.7073489483447,red,X,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,classwise-exact,Exact Classwise,Exact Classwise,,0.8018497186153992,96.66202276228503,red,d,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,clustered,Clustered,Clustered,,0.8041695853114095,1.3377595497846386,purple,P,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.7987603357751438,1.5656793158738642,orange,^,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,rc3p,RC3P,RC3P,,0.8299573049957557,54.690521709057755,#FF5733,D,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.8013251799918257,1.315939195774515,gray,o,0.3,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.7984211022730845,1.3072074071745212,gray,o,0.475,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.7994661552488447,1.3606787814003207,gray,o,0.6499999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.8037511239664226,1.5084566919231615,gray,o,0.825,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.8101698997076116,1.7903952589052725,gray,o,0.9299999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.8135822932058981,2.065736535982645,gray,o,0.9649999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.816153739742824,2.407250605212689,gray,o,0.9824999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.8191628257930643,2.9757260351494956,gray,o,0.9929999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.8227151256012828,5.165677366617412,gray,o,0.9992999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.8258309806017543,262.7073489483447,gray,o,1.0,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.8170500833149936,198.41255918508503,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.8166187317257207,198.400282202031,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.8187832866978967,199.59713434149717,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.8057752067155028,7.343954852705378,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.8003857641399692,1.858785864746754,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.7982290061936053,1.6186330681925363,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.7969383469047695,1.516567862420222,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.7941226145188167,1.4072634325777345,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.7890813342974817,1.2613138617285504,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.7967937246518062,1.3008755934228313,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.7913208413242369,308.72594296852895,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.7913208413242369,308.72594296852895,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.7908803093658628,307.6031001351904,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.7928831389316817,9.337438614141542,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.7959871097557141,1.8887344924073317,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.797660200584777,1.5661694595529285,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.79443242053636,1.4625874178639922,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.7955685855314867,1.3700950105322727,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.796523281038765,1.289787216650423,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.2,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.7980362813217217,1.2907956110290186,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,standard,Standard,Standard,,0.8980157198101046,3.188566541956173,blue,X,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,classwise,Classwise,Classwise,,0.9221204137454019,457.941827648002,red,X,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,classwise-exact,Exact Classwise,Exact Classwise,,0.899723582859119,191.5094526990914,red,d,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,clustered,Clustered,Clustered,,0.8930920237683528,3.4267224195931716,purple,P,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.8979899393215329,4.083305687427296,orange,^,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,rc3p,RC3P,RC3P,,0.8922457320715566,64.30209922344137,#FF5733,D,0.8,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.8980157198101046,3.188566541956173,gray,o,0.3,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.8930424749269029,3.1421670701417925,gray,o,0.475,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.8937152199201434,3.4069952526173486,gray,o,0.6499999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.8987805828905586,4.07268921935423,gray,o,0.825,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.9048749646304273,5.276756374382997,gray,o,0.9299999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.9088828245354796,6.463329141383972,gray,o,0.9649999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.9119937749551985,7.931269657622536,gray,o,0.9824999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.914955261420442,10.3689732448832,gray,o,0.9929999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.9191876630930298,19.894817493004684,gray,o,0.9992999999999999,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.9221204137454019,457.941827648002,gray,o,1.0,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.9187861162637156,382.7712195428679,gray,o,0.5,train_mean
inaturalist-trunc,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.9194366648850881,383.1431766592259,gray,o,0.5,train_mean
