dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,standard,Standard,Standard,,0.14946261682242992,1.315939195774515,blue,X,0.8,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,classwise,Classwise,Classwise,,0.022359813084112157,262.7073489483447,red,X,0.8,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,classwise-exact,Exact Classwise,Exact Classwise,,0.07983644859813087,96.66202276228503,red,d,0.8,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,clustered,Clustered,Clustered,,0.1468457943925234,1.3377595497846386,purple,P,0.8,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.07205607476635516,1.5656793158738642,orange,^,0.8,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,rc3p,RC3P,RC3P,,0.05091121495327104,54.690521771937,#FF5733,D,0.8,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.14946261682242992,1.315939195774515,gray,o,0.3,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.13841121495327108,1.3072074071745212,gray,o,0.475,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.12456775700934582,1.3606787814003207,gray,o,0.6499999999999999,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.10311915887850469,1.5084566919231615,gray,o,0.825,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.08052570093457946,1.7903952589052725,gray,o,0.9299999999999999,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.06710280373831778,2.065736535982645,gray,o,0.9649999999999999,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.056588785046728984,2.407250605212689,gray,o,0.9824999999999999,train_mean
inaturalist-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.04644859813084114,2.9757260351494956,gray,o,0.9929999999999999,train_mean
