dataset,alpha,method,method_key,method_params,set_size_metric_type,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size
inaturalist,0.1,Standard,standard,score=softmax,mean,0.05821665438467207,0.11584901542054837,0.8489876697496477,0.9015331041483383,10.885218595193285
inaturalist,0.1,classwise,classwise,,mean,0.0,0.0023009764336642965,0.9924525857738953,0.9540392988194248,7427.950267159885
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,mean,0.0,0.002287464580083655,0.9924697805663297,0.9543435601561503,7427.972613407749
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,mean,0.0,0.002262322426263794,0.9925476479252304,0.9546871257521442,7428.6523243991605
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,mean,0.00454433800049128,0.013161470618333062,0.9786570231652905,0.9479094954321777,5782.4873126095135
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,mean,0.029108327192336036,0.07305083366780551,0.9002598181290904,0.906321257803604,17.17608756787159
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,mean,0.030950626381724394,0.07526950925136594,0.8974576249766696,0.9034344883081695,15.614705691479006
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,mean,0.03119626627364284,0.07704787167883917,0.8953934860429459,0.901841920233243,15.086053605036017
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,mean,0.03279292557111275,0.079585692904517,0.8924282530279477,0.9003992977131925,14.50332057022952
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,mean,0.040530582166543844,0.0911258483910213,0.8786895117548864,0.8975206298137333,12.728362212559759
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,mean,0.05711127487103906,0.11464109279497567,0.8502022148005262,0.8963616864461974,10.254764531550824
inaturalist,0.1,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,mean,0.05821665438467207,0.11579988140752785,0.8490528465974831,0.9015575541214227,10.883012092500055
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,mean,0.0014738393515106854,0.010769356085253961,0.9794794274101609,0.8977356079070146,7050.999199601964
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,mean,0.0014738393515106854,0.010867624111294988,0.9793320434750099,0.8976533312246052,7044.019598935687
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,mean,0.02210759027266028,0.046889387117690515,0.9354340586519464,0.8963754587223315,3425.602310338114
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,mean,0.03328420535494964,0.08091019446551409,0.8903098688360026,0.8976935931242229,14.994743331819066
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,mean,0.03291574551707197,0.07936257085618559,0.8922142859882223,0.8985648173998976,14.486166093408613
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,mean,0.0325472856791943,0.07943353998578687,0.8922927819192893,0.8985240686424251,14.17952711618751
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,mean,0.03328420535494964,0.08042371529023401,0.8913771312608649,0.900149868539318,14.333138641919225
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,mean,0.03917956276099239,0.08923962792630588,0.8810920970186119,0.9003587112483281,13.384515542864559
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,mean,0.05391795627609924,0.10903459964651227,0.8573567876988075,0.9028355792292571,11.473121768663335
inaturalist,0.1,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,mean,0.05747973470891673,0.11479279847285619,0.850299287351475,0.9026552361573389,11.05215566660177
inaturalist,0.1,Fuzzy-random,fuzzy-random-1e-30,bandwidth=1e,mean,0.00036845983787767134,0.003014119973306934,0.9903243599125104,0.9456161958938343,7191.240378999286
inaturalist,0.1,Fuzzy-random,fuzzy-random-1e-15,bandwidth=1e,mean,0.00036845983787767134,0.002900335943154166,0.9905053577276084,0.94624670069734,7192.375343414022
inaturalist,0.1,Fuzzy-random,fuzzy-random-1e-10,bandwidth=1e,mean,0.0012281994595922379,0.004403430720117378,0.9886259517854985,0.9453548292586444,7048.066692625522
inaturalist,0.1,Fuzzy-random,fuzzy-random-1e-05,bandwidth=1e,mean,0.05379513633014001,0.10995526076944995,0.8563285265287283,0.9017354895554048,13.432928807839573
inaturalist,0.1,Fuzzy-random,fuzzy-random-0.0001,bandwidth=0.0001,mean,0.055760255465487595,0.11349421131840594,0.8520160818824258,0.9027448815893736,11.438401799813962
inaturalist,0.1,Fuzzy-random,fuzzy-random-0.001,bandwidth=0.001,mean,0.05747973470891673,0.11523285919423082,0.8500655036427015,0.9039233213323318,11.141951673264542
inaturalist,0.1,Fuzzy-random,fuzzy-random-0.01,bandwidth=0.01,mean,0.05846229427659052,0.11631561442846006,0.8487180890951735,0.9034089524479959,10.995781686027646
inaturalist,0.1,Fuzzy-random,fuzzy-random-0.1,bandwidth=0.1,mean,0.05809383443871285,0.11630184768270838,0.8486159174775074,0.9033013606700623,10.910593376165444
inaturalist,0.1,Fuzzy-random,fuzzy-random-10,bandwidth=10,mean,0.05846229427659052,0.11651575933311409,0.8484657625304731,0.9035305039800932,10.931014342267506
inaturalist,0.1,Fuzzy-random,fuzzy-random-1000,bandwidth=1000,mean,0.05858511422254974,0.11655547599363901,0.8484253001816099,0.9035109979558711,10.917667164211391
inaturalist,0.1,Fuzzy-RErandom,fuzzy-RErandom-1e-30,bandwidth=1e,mean,0.0031933185949398184,0.01402896705716673,0.9746081034808204,0.8897008893197411,6842.732472364635
inaturalist,0.1,Fuzzy-RErandom,fuzzy-RErandom-1e-15,bandwidth=1e,mean,0.0019651191353475803,0.011298880195523546,0.9788492847319501,0.8943853782433602,7054.747074220693
inaturalist,0.1,Fuzzy-RErandom,fuzzy-RErandom-1e-10,bandwidth=1e,mean,0.005404077622205846,0.01619865291173659,0.9726519947308763,0.8934341439867792,6795.679840785688
inaturalist,0.1,Fuzzy-RErandom,fuzzy-RErandom-1e-05,bandwidth=1e,mean,0.05465487595185458,0.10829646000788988,0.858548756919313,0.9020417790171964,14.03610444112748
