dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,macro_cov,MacroCov,0.1,standard,Standard,Standard,,0.8489876697496477,10.885218595193285,blue,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,classwise,Classwise,Classwise,,0.9924525857738953,7427.950267159885,red,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,clustered,Clustered,Clustered,,0.8448895096582595,8.427737036796676,purple,P,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.9924697805663297,7427.972613407749,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.9925476479252304,7428.6523243991605,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.9786570231652905,5782.4873126095135,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.9002598181290904,17.17608756787159,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.8974576249766696,15.614705691479006,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.8953934860429459,15.086053605036017,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.8924282530279477,14.50332057022952,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.8786895117548864,12.728362212559759,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.8502022148005262,10.254764531550824,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.8490528465974831,10.883012092500055,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.9794794274101609,7050.999199601964,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.9793320434750099,7044.019598935687,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.9354340586519464,3425.602310338114,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.8903098688360026,14.994743331819066,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.8922142859882223,14.486166093408613,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.8922927819192893,14.17952711618751,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.8913771312608649,14.333138641919225,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.8810920970186119,13.384515542864559,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.8573567876988075,11.473121768663335,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.850299287351475,11.05215566660177,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.8489876697496477,10.885218595193285,gray,o,0.3,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.8538272901749303,10.097042853743483,gray,o,0.475,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.8620948742501781,10.98042269669241,gray,o,0.6499999999999999,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.8752594456062874,13.094620027256799,gray,o,0.825,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.8912622941213147,16.780020334436585,gray,o,0.9299999999999999,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.9027381902532811,20.224111450018388,gray,o,0.9649999999999999,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.9132334946165758,24.3659549613862,gray,o,0.9824999999999999,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.923942121858531,31.061457589720295,gray,o,0.9929999999999999,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.9474956313072245,55.83989876046466,gray,o,0.9992999999999999,mean
inaturalist,macro_cov,MacroCov,0.1,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.9924525857738953,7427.950267159885,gray,o,1.0,mean
inaturalist,macro_cov,MacroCov,0.1,standard_softmax,Standard (Softmax),Standard (Softmax),,0.8489876697496477,10.885218595193285,blue,p,0.8,mean
inaturalist,macro_cov,MacroCov,0.2,standard,Standard,Standard,,0.7269282835556736,2.8491141540658056,blue,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.2,classwise,Classwise,Classwise,,0.9693906093445714,6658.040041534168,red,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.2,clustered,Clustered,Clustered,,0.7285058049357307,2.902957146256517,purple,P,0.8,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.9696795328329578,6658.093365349255,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.9694862288191162,6651.107015380621,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.8910738485119452,1617.8454150171976,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.8006807104891438,4.149934021242997,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.7982383431164304,3.884656153330305,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.7975713126484225,3.8077746771367385,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.7903388117290677,3.6788240638587837,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.7723355585653158,3.2935081229584444,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.728345601467635,2.6987258528565556,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.7269233707578353,2.8463019447509033,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.9389989985901539,6140.17745040777,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.9373511643152009,6062.648127717568,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.8314315224362261,976.2006835831874,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.7903552480330556,3.7618924005451357,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.7892367418090517,3.561533303048002,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.7879540910188244,3.5129469790382246,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.786326782708711,3.5346226231423192,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.7731995168628896,3.3595085123412725,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.7385952642609611,2.9572111536547907,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.726987237129734,2.8504553615852206,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.7269282835556736,2.8491141540658056,gray,o,0.3,mean
inaturalist,macro_cov,MacroCov,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.7338901953731832,2.6425681960758864,gray,o,0.475,mean
