dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,cov_below50,FracBelow50%,0.1,standard,Standard,Standard,,0.05821665438467207,10.885218595193285,blue,X,0.8,mean
inaturalist,cov_below50,FracBelow50%,0.1,classwise,Classwise,Classwise,,0.0,7427.950267159885,red,X,0.8,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.0,7427.972613407749,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.0,7428.6523243991605,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.00454433800049128,5782.4873126095135,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.029108327192336036,17.17608756787159,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.030950626381724394,15.614705691479006,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.03119626627364284,15.086053605036017,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.03279292557111275,14.50332057022952,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.040530582166543844,12.728362212559759,gray,o,0.5,mean
inaturalist,cov_below50,FracBelow50%,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.05711127487103906,10.254764531550824,gray,o,0.5,mean
