dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,macro_cov,MacroCov,0.1,standard,Standard,Standard,,0.8489876697496477,10.885218595193285,blue,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,classwise,Classwise,Classwise,,0.9924525857738953,7427.950267159885,red,X,0.8,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.9924697805663297,7427.972613407749,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.9925476479252304,7428.6523243991605,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.9786570231652905,5782.4873126095135,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.9002598181290904,17.17608756787159,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.8974576249766696,15.614705691479006,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.8953934860429459,15.086053605036017,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.8924282530279477,14.50332057022952,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.8786895117548864,12.728362212559759,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.8502022148005262,10.254764531550824,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.8490528465974831,10.883012092500055,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.9794794274101609,7050.999199601964,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.9793320434750099,7044.019598935687,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.9354340586519464,3425.602310338114,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.8903098688360026,14.994743331819066,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.8922142859882223,14.486166093408613,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.8922927819192893,14.17952711618751,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.8913771312608649,14.333138641919225,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.8810920970186119,13.384515542864559,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.8573567876988075,11.473121768663335,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.850299287351475,11.05215566660177,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-1e-30,Fuzzy-random,fuzzy-random-1e-30,bandwidth=1e,0.9903243599125104,7191.240378999286,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-1e-15,Fuzzy-random,fuzzy-random-1e-15,bandwidth=1e,0.9905053577276084,7192.375343414022,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-1e-10,Fuzzy-random,fuzzy-random-1e-10,bandwidth=1e,0.9886259517854985,7048.066692625522,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-1e-05,Fuzzy-random,fuzzy-random-1e-05,bandwidth=1e,0.8563285265287283,13.432928807839573,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-0.0001,Fuzzy-random,fuzzy-random-0.0001,bandwidth=0.0001,0.8520160818824258,11.438401799813962,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-0.001,Fuzzy-random,fuzzy-random-0.001,bandwidth=0.001,0.8500655036427015,11.141951673264542,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-0.01,Fuzzy-random,fuzzy-random-0.01,bandwidth=0.01,0.8487180890951735,10.995781686027646,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-0.1,Fuzzy-random,fuzzy-random-0.1,bandwidth=0.1,0.8486159174775074,10.910593376165444,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-10,Fuzzy-random,fuzzy-random-10,bandwidth=10,0.8484657625304731,10.931014342267506,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-random-1000,Fuzzy-random,fuzzy-random-1000,bandwidth=1000,0.8484253001816099,10.917667164211391,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-1e-30,Fuzzy-RErandom,fuzzy-RErandom-1e-30,bandwidth=1e,0.9746081034808204,6842.732472364635,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-1e-15,Fuzzy-RErandom,fuzzy-RErandom-1e-15,bandwidth=1e,0.9788492847319501,7054.747074220693,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-1e-10,Fuzzy-RErandom,fuzzy-RErandom-1e-10,bandwidth=1e,0.9726519947308763,6795.679840785688,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-1e-05,Fuzzy-RErandom,fuzzy-RErandom-1e-05,bandwidth=1e,0.858548756919313,14.03610444112748,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-0.0001,Fuzzy-RErandom,fuzzy-RErandom-0.0001,bandwidth=0.0001,0.8540744021398834,12.171999048175309,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-0.001,Fuzzy-RErandom,fuzzy-RErandom-0.001,bandwidth=0.001,0.8525606010643026,11.631340991195621,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-0.01,Fuzzy-RErandom,fuzzy-RErandom-0.01,bandwidth=0.01,0.8519831620636271,11.370216540117248,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-0.1,Fuzzy-RErandom,fuzzy-RErandom-0.1,bandwidth=0.1,0.8519484130789516,11.389015077768404,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-10,Fuzzy-RErandom,fuzzy-RErandom-10,bandwidth=10,0.8522193893771572,11.37707400436974,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-RErandom-1000,Fuzzy-RErandom,fuzzy-RErandom-1000,bandwidth=1000,0.8520231807656676,11.335085556060312,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-1e-30,Fuzzy-quantile,fuzzy-quantile-1e-30,bandwidth=1e,0.9903243599125104,7191.240378999286,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-1e-15,Fuzzy-quantile,fuzzy-quantile-1e-15,bandwidth=1e,0.9879698126073174,6894.834079650421,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-1e-10,Fuzzy-quantile,fuzzy-quantile-1e-10,bandwidth=1e,0.9349565905851205,5155.969433447985,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-1e-05,Fuzzy-quantile,fuzzy-quantile-1e-05,bandwidth=1e,0.7369330157232757,17.620979081489175,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-0.0001,Fuzzy-quantile,fuzzy-quantile-0.0001,bandwidth=0.0001,0.7400779790628192,15.069028922491185,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-0.001,Fuzzy-quantile,fuzzy-quantile-0.001,bandwidth=0.001,0.7510525756337134,14.463279036061177,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-0.01,Fuzzy-quantile,fuzzy-quantile-0.01,bandwidth=0.01,0.760969712989278,14.116079347567439,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-0.1,Fuzzy-quantile,fuzzy-quantile-0.1,bandwidth=0.1,0.7873476471525622,14.104938672204556,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-10,Fuzzy-quantile,fuzzy-quantile-10,bandwidth=10,0.85005384464717,12.058169468059791,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-quantile-1000,Fuzzy-quantile,fuzzy-quantile-1000,bandwidth=1000,0.8484383873955369,10.940662383455557,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-REquantile-1e-30,Fuzzy-REquantile,fuzzy-REquantile-1e-30,bandwidth=1e,0.9746081034808204,6842.732472364635,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-REquantile-1e-15,Fuzzy-REquantile,fuzzy-REquantile-1e-15,bandwidth=1e,0.969833290484968,6804.094014320635,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-REquantile-1e-10,Fuzzy-REquantile,fuzzy-REquantile-1e-10,bandwidth=1e,0.9064253673038548,4317.341423843209,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-REquantile-1e-05,Fuzzy-REquantile,fuzzy-REquantile-1e-05,bandwidth=1e,0.819635686754859,544.8701624591689,gray,o,0.5,mean
inaturalist,macro_cov,MacroCov,0.1,fuzzy-REquantile-0.0001,Fuzzy-REquantile,fuzzy-REquantile-0.0001,bandwidth=0.0001,0.8130899271640636,86.05518419971013,gray,o,0.5,mean
