dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,undercov_gap,UnderCovGap,0.1,standard,Standard,Standard,,0.11584901542054837,10.885218595193285,blue,X,0.8,mean
inaturalist,undercov_gap,UnderCovGap,0.1,classwise,Classwise,Classwise,,0.0023009764336642965,7427.950267159885,red,X,0.8,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.002287464580083655,7427.972613407749,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.002262322426263794,7428.6523243991605,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.013161470618333062,5782.4873126095135,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.07305083366780551,17.17608756787159,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.07526950925136594,15.614705691479006,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.07704787167883917,15.086053605036017,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.079585692904517,14.50332057022952,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.0911258483910213,12.728362212559759,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.11464109279497567,10.254764531550824,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.11579988140752785,10.883012092500055,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.010769356085253961,7050.999199601964,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.010867624111294988,7044.019598935687,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.046889387117690515,3425.602310338114,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.08091019446551409,14.994743331819066,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.07936257085618559,14.486166093408613,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.07943353998578687,14.17952711618751,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.08042371529023401,14.333138641919225,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.08923962792630588,13.384515542864559,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.10903459964651227,11.473121768663335,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.1,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.11479279847285619,11.05215566660177,gray,o,0.5,mean
