dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,train_marginal_cov,MarginalCov,0.2,standard,Standard,Standard,,0.8034383243247437,2.8491141540658056,blue,X,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,classwise,Classwise,Classwise,,0.8810912549774402,6658.040041534168,red,X,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,classwise-exact,Exact Classwise,Exact Classwise,,0.7820169106109651,2790.985160187769,red,d,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,clustered,Clustered,Clustered,,0.8050491395171279,2.902957146256517,purple,P,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.8012469802552796,3.1480952689986372,orange,^,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,rc3p,RC3P,RC3P,,0.7979472382016201,657.4933480433513,#FF5733,D,0.8,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.8034383243247437,2.8491141540658056,gray,o,0.3,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.7915747743242417,2.6425681960758864,gray,o,0.475,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.7908373451319056,2.8122958444199275,gray,o,0.6499999999999999,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.7961874112649623,3.2894628680208537,gray,o,0.825,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.8058339111595413,4.161658770848206,gray,o,0.9299999999999999,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.8139614577394603,5.014753282713565,gray,o,0.9649999999999999,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.8204997153418123,6.050295281978065,gray,o,0.9824999999999999,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.8290697650389467,7.794600558115387,gray,o,0.9929999999999999,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.8467146099510597,14.714863607848228,gray,o,0.9992999999999999,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.8810912549774402,6658.040041534168,gray,o,1.0,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.8825176685152112,6658.093365349255,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.8828755202088955,6651.107015380621,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.8519492355791921,1617.8454150171976,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.8060689669199541,4.149934021242997,gray,o,0.5,mean
inaturalist,train_marginal_cov,MarginalCov,0.2,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.8039809383951907,3.884656153330305,gray,o,0.5,mean
