dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
inaturalist,undercov_gap,UnderCovGap,0.2,standard,Standard,Standard,,0.16842754181292402,2.8491141540658056,blue,X,0.8,mean
inaturalist,undercov_gap,UnderCovGap,0.2,classwise,Classwise,Classwise,,0.00891427703783368,6658.040041534168,red,X,0.8,mean
inaturalist,undercov_gap,UnderCovGap,0.2,classwise-exact,Exact Classwise,Exact Classwise,,0.1562287272311737,2790.985160187769,red,d,0.8,mean
inaturalist,undercov_gap,UnderCovGap,0.2,clustered,Clustered,Clustered,,0.1673186141265005,2.902957146256517,purple,P,0.8,mean
inaturalist,undercov_gap,UnderCovGap,0.2,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.13250398844159772,3.1480952689986372,orange,^,0.8,mean
inaturalist,undercov_gap,UnderCovGap,0.2,rc3p,RC3P,RC3P,,0.14182682609865765,657.4933480433513,#FF5733,D,0.8,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.16842754181292402,2.8491141540658056,gray,o,0.3,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.16206083552340975,2.6425681960758864,gray,o,0.475,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.15258840822061615,2.8122958444199275,gray,o,0.6499999999999999,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.13736939851548718,3.2894628680208537,gray,o,0.825,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.12022767566921047,4.161658770848206,gray,o,0.9299999999999999,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.10692969761480893,5.014753282713565,gray,o,0.9649999999999999,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.09589731166289579,6.050295281978065,gray,o,0.9824999999999999,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.08322129647393907,7.794600558115387,gray,o,0.9929999999999999,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.059255033950433376,14.714863607848228,gray,o,0.9992999999999999,mean
inaturalist,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.00891427703783368,6658.040041534168,gray,o,1.0,mean
inaturalist,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.008733886620590695,6658.093365349255,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.008815459010244194,6651.107015380621,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.05755999770381166,1617.8454150171976,gray,o,0.5,mean
inaturalist,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.11400514812145023,4.149934021242997,gray,o,0.5,mean
