Method,FracBelow50% $\downarrow$,UnderCovGap $\downarrow$,MacroCov $\uparrow$,MarginalCov (desired = 0.9),Avg. set size
Standard,0.0586,0.117,0.848,0.904,10.9
Classwise,0.000368,0.00301,0.99,0.946,7190.0
Clustered,0.0601,0.12,0.843,0.879,7.99
Standard w. PAS,0.0402,0.0913,0.878,0.903,11.7
Raw Fuzzy ($\sigma=0.00001$),0.0294,0.0737,0.899,0.906,16.7
Raw Fuzzy ($\sigma=0.01$),0.0328,0.0789,0.893,0.902,14.7
Raw Fuzzy ($\sigma=0.1$),0.0392,0.0888,0.882,0.9,12.9
Fuzzy ($\sigma=0.00001$),0.0306,0.0764,0.896,0.903,15.8
Fuzzy ($\sigma=0.01$),0.034,0.0806,0.891,0.9,14.4
Fuzzy ($\sigma=0.1$),0.0397,0.0891,0.881,0.9,13.0
Interp-Q ($\tau=0.9$),0.0355,0.0823,0.889,0.903,15.8
Interp-Q ($\tau=0.99$),0.0194,0.0563,0.921,0.917,28.5
Interp-Q ($\tau=0.999$),0.0128,0.0404,0.942,0.926,49.9
