Method,FracBelow50% $\downarrow$,UnderCovGap $\downarrow$,MacroCov $\uparrow$,MarginalCov (desired = 0.9),Avg. set size $\downarrow$
Standard,0.279,0.247,0.668,0.9,1.15
Classwise,0.0,0.0151,0.94,0.903,125.0
Clustered,0.194,0.191,0.722,0.895,1.48
Standard w. PAS,0.0212,0.0572,0.87,0.903,1.61
Raw Fuzzy ($\sigma=0.00001$),0.0364,0.0498,0.877,0.901,2.75
Raw Fuzzy ($\sigma=0.01$),0.0818,0.108,0.814,0.897,1.83
Raw Fuzzy ($\sigma=0.1$),0.136,0.146,0.774,0.894,1.61
Fuzzy ($\sigma=0.00001$),0.0303,0.049,0.881,0.905,3.42
Fuzzy ($\sigma=0.01$),0.097,0.112,0.812,0.905,1.44
Fuzzy ($\sigma=0.1$),0.136,0.153,0.768,0.903,1.35
Interp-Q ($\tau=0.9$),0.0879,0.115,0.801,0.902,1.41
Interp-Q ($\tau=0.99$),0.0333,0.055,0.871,0.901,1.91
Interp-Q ($\tau=0.999$),0.0182,0.0332,0.905,0.903,2.93
