dataset,alpha,method,method_key,method_params,set_size_metric_type,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size
plantnet,0.1,Standard,standard,score=softmax,mean,0.3894542090656799,0.3981303560844069,0.5254309138992365,0.9070431140067658,1.571708665466701
plantnet,0.1,classwise,classwise,,mean,0.0,0.00582128463645076,0.9758329184881558,0.9120204366139654,780.1710915402417
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,mean,0.0,0.0068698368770079695,0.9716193847426388,0.909762612422745,718.3909745435844
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,mean,0.0,0.0067674976957214205,0.971892690466148,0.9100173700036516,718.7179866289534
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,mean,0.0027752081406105457,0.009632140104287042,0.9682200809069691,0.9096679873254282,676.1269606582669
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,mean,0.12488436632747456,0.14422844970818352,0.8126752879248194,0.9034851175851997,5.019028027770635
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,mean,0.1332099907493062,0.15589397414017825,0.7999609190801383,0.9045942904501156,4.278734893288763
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,mean,0.1683626271970398,0.1892882151991691,0.7630865310203951,0.9042256257667809,3.353689894574441
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,mean,0.23219241443108232,0.2496139412014685,0.6947083551331519,0.9008360552043023,2.6865518128053485
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,mean,0.299722479185939,0.3123605019019275,0.6226866541275204,0.8980069058919954,2.2195615839547442
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,mean,0.3987049028677151,0.4025730238273806,0.5201770362126464,0.8944066702601097,1.571676523527899
plantnet,0.1,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,mean,0.40333024976873266,0.4096986311786367,0.512602652681471,0.905966376142443,1.540530984829005
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,mean,0.0,0.00699287402592577,0.9747177130435973,0.8982809167995475,797.7760671123682
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,mean,0.0,0.00699287402592577,0.9747177130435973,0.8982809167995475,797.7760671123682
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,mean,0.0018501387604070306,0.008974054174643673,0.9722176387242714,0.8984972234515247,767.9982643353047
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,mean,0.12858464384828863,0.14113829153869548,0.8177499307858258,0.9036492776135059,4.884706865518128
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,mean,0.13598519888991675,0.1498115955065495,0.8085926758464477,0.905387171137199,4.177552069940859
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,mean,0.17391304347826086,0.1928739951173893,0.7593759687156637,0.9053513746541906,3.3165338133196194
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,mean,0.22664199814986125,0.24091850090997555,0.7055545782813557,0.907335617748426,2.813544613011057
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,mean,0.2969472710453284,0.30639447290744776,0.6298213429078946,0.9064301945118833,2.2991450244278733
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,mean,0.3681776133209991,0.37664024459548834,0.5497154731010753,0.9060597970568118,1.7055476986371818
plantnet,0.1,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,mean,0.3894542090656799,0.3981303560844069,0.5254274980894378,0.9068463579869457,1.5699408588326047
plantnet,0.1,Fuzzy-random,fuzzy-random-1e-30,bandwidth=1e,mean,0.0,0.0068698368770079695,0.9716193847426388,0.909762612422745,718.3909745435844
plantnet,0.1,Fuzzy-random,fuzzy-random-1e-15,bandwidth=1e,mean,0.0,0.0067674976957214205,0.971892690466148,0.9100173700036516,718.7179866289534
plantnet,0.1,Fuzzy-random,fuzzy-random-1e-10,bandwidth=1e,mean,0.0,0.007076079909337959,0.9713761498354707,0.9096974375139495,713.46351889946
plantnet,0.1,Fuzzy-random,fuzzy-random-1e-05,bandwidth=1e,mean,0.2904717853839038,0.2968267359006062,0.6410411434863743,0.8969090800510731,18.037123939316018
plantnet,0.1,Fuzzy-random,fuzzy-random-0.0001,bandwidth=0.0001,mean,0.3598519888991674,0.36427694675408673,0.563721049692995,0.8924959567067323,2.1337104654152736
plantnet,0.1,Fuzzy-random,fuzzy-random-0.001,bandwidth=0.001,mean,0.395004625346901,0.3986531349399309,0.5246420160637629,0.8923313843788159,1.7464643867318077
plantnet,0.1,Fuzzy-random,fuzzy-random-0.01,bandwidth=0.01,mean,0.4024051803885291,0.4044067159136825,0.51879312062292,0.8959455750038584,1.599929287734636
plantnet,0.1,Fuzzy-random,fuzzy-random-0.1,bandwidth=0.1,mean,0.40795559666975023,0.41071909941665075,0.512060466169219,0.9017620003551434,1.5535806119825148
plantnet,0.1,Fuzzy-random,fuzzy-random-10,bandwidth=10,mean,0.4051803885291397,0.41039928493749883,0.5118128770106088,0.9052308667847317,1.5372203651324248
plantnet,0.1,Fuzzy-random,fuzzy-random-1000,bandwidth=1000,mean,0.40425531914893614,0.4097372114255502,0.5125823552389243,0.9063610865128919,1.5434237593211622
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-1e-30,bandwidth=1e,mean,0.0,0.007188986750569414,0.9740667558985016,0.8978122883176305,803.5580483414759
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-1e-15,bandwidth=1e,mean,0.0,0.007188986750569414,0.9740667558985016,0.8978122883176305,803.5580483414759
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-1e-10,bandwidth=1e,mean,0.0009250693802035153,0.008238369466618796,0.9728333300582301,0.8977152603790505,798.5750835690409
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-1e-05,bandwidth=1e,mean,0.27474560592044406,0.2786419752235484,0.6631366377232543,0.9078716545996682,48.29847004371304
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-0.0001,bandwidth=0.0001,mean,0.33580018501387604,0.34300531487692937,0.5883620576766434,0.9072293010548409,2.4687258935458987
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-0.001,bandwidth=0.001,mean,0.3580018501387604,0.3673069644345607,0.5604697255750626,0.9077654819914039,1.9284841861661095
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-0.01,bandwidth=0.01,mean,0.37280296022201664,0.3794081065654561,0.5468697571959668,0.9098354906503595,1.73823605039856
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-0.1,bandwidth=0.1,mean,0.3811285846438483,0.3901503071879717,0.5343463363629882,0.9089206287347523,1.6223643610182565
plantnet,0.1,Fuzzy-RErandom,fuzzy-RErandom-10,bandwidth=10,mean,0.38390379278445885,0.39400895191907587,0.5300106470144442,0.9076236705880242,1.5878760606839804
