dataset,alpha,method,method_key,method_params,set_size_metric_type,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size
plantnet,0.2,Standard,standard,score=softmax,mean,0.5587419056429233,0.4439291980442806,0.3877602179629557,0.8094959922577619,0.9964965286706094
plantnet,0.2,classwise,classwise,,mean,0.0074005550416281225,0.015942370117358145,0.9267219585507638,0.8157717356356138,631.2974093597326
plantnet,0.2,classwise-exact,classwise-exact,,mean,0.16558741905642924,0.1613839153907978,0.7264104581032788,0.8015421094445644,276.669741578812
plantnet,0.2,clustered,clustered,,mean,0.5716928769657724,0.4562122185275024,0.37317164499804684,0.8102623394761387,0.9948572897917203
plantnet,0.2,prevalence-adjusted,prevalence-adjusted,,mean,0.18316373728029603,0.16569954298789885,0.7380835600928485,0.7989293949591341,2.149942144510157
plantnet,0.2,rc3p,rc3p,,mean,0.16188714153561518,0.1521118683951625,0.7423865232187733,0.8507309559757726,118.21438673180766
plantnet,0.2,Interp-Q,cvx-cw_weight=0,weight=0,mean,0.5587419056429233,0.4439291980442806,0.3877602179629557,0.8094959922577619,0.9964965286706094
plantnet,0.2,Interp-Q,cvx-cw_weight=0.25,weight=0.25,mean,0.5263644773358002,0.4234431607942375,0.40918865357380746,0.8105984767184918,1.0064283877603497
plantnet,0.2,Interp-Q,cvx-cw_weight=0.5,weight=0.5,mean,0.48103607770582796,0.3962133393449387,0.4380959127487328,0.8118195010769108,1.0370917973772178
plantnet,0.2,Interp-Q,cvx-cw_weight=0.75,weight=0.75,mean,0.42183163737280294,0.35600960687775784,0.4828883011968729,0.8130702280864259,1.1230714836718951
plantnet,0.2,Interp-Q,cvx-cw_weight=0.9,weight=0.9,mean,0.3598519888991674,0.3129192105626587,0.5330179687137163,0.811341532785109,1.2817562355361276
plantnet,0.2,Interp-Q,cvx-cw_weight=0.95,weight=0.95,mean,0.3172987974098057,0.2800178738098505,0.574010239596705,0.8097922743407162,1.4411802519928003
plantnet,0.2,Interp-Q,cvx-cw_weight=0.975,weight=0.975,mean,0.27104532839962997,0.24379855377866064,0.6197934463753777,0.8100532564452075,1.6418102339933145
plantnet,0.2,Interp-Q,cvx-cw_weight=0.99,weight=0.99,mean,0.22294172062904719,0.20428665362107823,0.6711615866194396,0.8103786945419801,1.9696901517099512
plantnet,0.2,Interp-Q,cvx-cw_weight=0.999,weight=0.999,mean,0.1498612395929695,0.14055594579294628,0.759535443207905,0.8112977035994615,3.3068269478014916
plantnet,0.2,Interp-Q,cvx-cw_weight=1,weight=1,mean,0.0074005550416281225,0.015942370117358145,0.9267219585507638,0.8157717356356138,631.2974093597326
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,mean,0.0064754856614246065,0.02030344971609598,0.9155358961357926,0.8105460660786266,568.854397017228
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,mean,0.0064754856614246065,0.02067444160466933,0.9145478485377164,0.8100510982292531,568.8286191823091
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,mean,0.036077705827937095,0.04374834100204624,0.8859060604013299,0.8103153355264003,448.91604525584984
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,mean,0.20166512488436633,0.18495287111890346,0.7062069348092709,0.8061549623258888,2.201047827204937
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,mean,0.22664199814986125,0.20435442603191303,0.6822588270093626,0.8053030791937758,1.9617189508871176
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,mean,0.29509713228492135,0.2549692171226276,0.6202998229392249,0.803860527186388,1.6527063512471072
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,mean,0.3598519888991674,0.3063703752462118,0.5558042649588025,0.8000600162250132,1.3964386731807663
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,mean,0.4283071230342276,0.3640854632490602,0.48209035105205356,0.7952870898410285,1.1947480071997942
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,mean,0.5642923219241444,0.4493105961853036,0.38008434843292044,0.7852639212985346,0.9816469529442016
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,mean,0.574468085106383,0.4579783261853655,0.37090009698416804,0.8081160785122388,0.987978914888146
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,mean,0.0064754856614246065,0.015420740851391642,0.9298738923643575,0.7968706393990466,681.0658588326048
