dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet,macro_cov,MacroCov,0.1,standard,Standard,Standard,,0.5254309138992365,1.571708665466701,blue,X,0.8,mean
plantnet,macro_cov,MacroCov,0.1,classwise,Classwise,Classwise,,0.9758329184881558,780.1710915402417,red,X,0.8,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.9716193847426388,718.3909745435844,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.971892690466148,718.7179866289534,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.9682200809069691,676.1269606582669,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.8126752879248194,5.019028027770635,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.7999609190801383,4.278734893288763,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.7630865310203951,3.353689894574441,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.6947083551331519,2.6865518128053485,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.6226866541275204,2.2195615839547442,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.5201770362126464,1.571676523527899,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.512602652681471,1.540530984829005,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.9747177130435973,797.7760671123682,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.9747177130435973,797.7760671123682,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.9722176387242714,767.9982643353047,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.8177499307858258,4.884706865518128,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.8085926758464477,4.177552069940859,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.7593759687156637,3.3165338133196194,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.7055545782813557,2.813544613011057,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.6298213429078946,2.2991450244278733,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.5497154731010753,1.7055476986371818,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.5254274980894378,1.5699408588326047,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-1e-30,Fuzzy-random,fuzzy-random-1e-30,bandwidth=1e,0.9716193847426388,718.3909745435844,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-1e-15,Fuzzy-random,fuzzy-random-1e-15,bandwidth=1e,0.971892690466148,718.7179866289534,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-1e-10,Fuzzy-random,fuzzy-random-1e-10,bandwidth=1e,0.9713761498354707,713.46351889946,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-1e-05,Fuzzy-random,fuzzy-random-1e-05,bandwidth=1e,0.6410411434863743,18.037123939316018,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-0.0001,Fuzzy-random,fuzzy-random-0.0001,bandwidth=0.0001,0.563721049692995,2.1337104654152736,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-0.001,Fuzzy-random,fuzzy-random-0.001,bandwidth=0.001,0.5246420160637629,1.7464643867318077,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-0.01,Fuzzy-random,fuzzy-random-0.01,bandwidth=0.01,0.51879312062292,1.599929287734636,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-0.1,Fuzzy-random,fuzzy-random-0.1,bandwidth=0.1,0.512060466169219,1.5535806119825148,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-random-10,Fuzzy-random,fuzzy-random-10,bandwidth=10,0.5118128770106088,1.5372203651324248,gray,o,0.5,mean
