dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet,train_marginal_cov,MarginalCov,0.1,standard,Standard,Standard,,0.9070431140067658,1.571708665466701,blue,X,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.1,classwise,Classwise,Classwise,,0.9120204366139654,780.1710915402417,red,X,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.909762612422745,718.3909745435844,gray,o,0.5,mean
plantnet,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.9100173700036516,718.7179866289534,gray,o,0.5,mean
plantnet,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.9096679873254282,676.1269606582669,gray,o,0.5,mean
plantnet,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.9034851175851997,5.019028027770635,gray,o,0.5,mean
plantnet,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.9045942904501156,4.278734893288763,gray,o,0.5,mean
plantnet,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.9042256257667809,3.353689894574441,gray,o,0.5,mean
plantnet,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.9008360552043023,2.6865518128053485,gray,o,0.5,mean
plantnet,train_marginal_cov,MarginalCov,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.8980069058919954,2.2195615839547442,gray,o,0.5,mean
