dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet,undercov_gap,UnderCovGap,0.1,standard,Standard,Standard,,0.3981303560844069,1.571708665466701,blue,X,0.8,mean
plantnet,undercov_gap,UnderCovGap,0.1,classwise,Classwise,Classwise,,0.00582128463645076,780.1710915402417,red,X,0.8,mean
plantnet,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.0068698368770079695,718.3909745435844,gray,o,0.5,mean
plantnet,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.0067674976957214205,718.7179866289534,gray,o,0.5,mean
plantnet,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.009632140104287042,676.1269606582669,gray,o,0.5,mean
plantnet,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.14422844970818352,5.019028027770635,gray,o,0.5,mean
plantnet,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.15589397414017825,4.278734893288763,gray,o,0.5,mean
plantnet,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.1892882151991691,3.353689894574441,gray,o,0.5,mean
plantnet,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.2496139412014685,2.6865518128053485,gray,o,0.5,mean
plantnet,undercov_gap,UnderCovGap,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.3123605019019275,2.2195615839547442,gray,o,0.5,mean
