dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet,macro_cov,MacroCov,0.2,standard,Standard,Standard,,0.3877602179629557,0.9964965286706094,blue,X,0.8,mean
plantnet,macro_cov,MacroCov,0.2,classwise,Classwise,Classwise,,0.9267219585507638,631.2974093597326,red,X,0.8,mean
plantnet,macro_cov,MacroCov,0.2,classwise-exact,Exact Classwise,Exact Classwise,,0.7264104581032788,276.669741578812,red,d,0.8,mean
plantnet,macro_cov,MacroCov,0.2,clustered,Clustered,Clustered,,0.37317164499804684,0.9948572897917203,purple,P,0.8,mean
plantnet,macro_cov,MacroCov,0.2,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.7380835600928485,2.149942144510157,orange,^,0.8,mean
plantnet,macro_cov,MacroCov,0.2,rc3p,RC3P,RC3P,,0.7423865232187733,118.21435458986886,#FF5733,D,0.8,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.3877602179629557,0.9964965286706094,gray,o,0.3,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.40918865357380746,1.0064283877603497,gray,o,0.475,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.4380959127487328,1.0370917973772178,gray,o,0.6499999999999999,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.4828883011968729,1.1230714836718951,gray,o,0.825,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.5330179687137163,1.2817562355361276,gray,o,0.9299999999999999,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.574010239596705,1.4411802519928003,gray,o,0.9649999999999999,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.6197934463753777,1.6418102339933145,gray,o,0.9824999999999999,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.6711615866194396,1.9696901517099512,gray,o,0.9929999999999999,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.759535443207905,3.3068269478014916,gray,o,0.9992999999999999,mean
plantnet,macro_cov,MacroCov,0.2,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.9267219585507638,631.2974093597326,gray,o,1.0,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.9155358961357926,568.854397017228,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.9145478485377164,568.8286191823091,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.8859060604013299,448.91604525584984,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.7062069348092709,2.201047827204937,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.6822588270093626,1.9617189508871176,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.6202998229392249,1.6527063512471072,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.5558042649588025,1.3964386731807663,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.48209035105205356,1.1947480071997942,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.38008434843292044,0.9816469529442016,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.37090009698416804,0.987978914888146,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.9298738923643575,681.0658588326048,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.9298738923643575,681.0643803034199,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.9082037514227,587.2387824633582,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.707860273366836,2.1959694008742607,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.6823774307991781,1.9431087683209052,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.6154848593072004,1.6135574697865775,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.557626978847019,1.4025777834919002,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.4992287431721232,1.2519606582669067,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.41457496568641844,1.0427809205451273,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.2,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.3858958831333874,0.993732321933659,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,standard,Standard,Standard,,0.5254309138992365,1.571708665466701,blue,X,0.8,mean
plantnet,macro_cov,MacroCov,0.1,classwise,Classwise,Classwise,,0.9758329184881558,780.1710915402417,red,X,0.8,mean
plantnet,macro_cov,MacroCov,0.1,classwise-exact,Exact Classwise,Exact Classwise,,0.8970386002143242,476.88927102082795,red,d,0.8,mean
plantnet,macro_cov,MacroCov,0.1,clustered,Clustered,Clustered,,0.5133251322910791,1.5693623039341733,purple,P,0.8,mean
plantnet,macro_cov,MacroCov,0.1,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.7630140163634639,2.6043648752892774,orange,^,0.8,mean
plantnet,macro_cov,MacroCov,0.1,rc3p,RC3P,RC3P,,0.7707622841194653,120.66196322962202,#FF5733,D,0.8,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.5254309138992365,1.571708665466701,gray,o,0.3,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.5422314084372803,1.557887631781949,gray,o,0.475,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.564751579177044,1.63216765235279,gray,o,0.6499999999999999,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.6092034739275602,1.8449794291591668,gray,o,0.825,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.6709930643584935,2.239746721522242,gray,o,0.9299999999999999,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.7128050554577207,2.6319426587811776,gray,o,0.9649999999999999,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.7466576074320733,3.121817948058627,gray,o,0.9824999999999999,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.7852867428914303,3.9537156081254823,gray,o,0.9929999999999999,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.855797270034249,7.580354847004371,gray,o,0.9992999999999999,mean
plantnet,macro_cov,MacroCov,0.1,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.9758329184881558,780.1710915402417,gray,o,1.0,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.9716193847426388,718.3909745435844,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.971892690466148,718.7179866289534,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.9682200809069691,676.1269606582669,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.8126752879248194,5.019028027770635,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.7999609190801383,4.278734893288763,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.7630865310203951,3.353689894574441,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.6947083551331519,2.6865518128053485,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.6226866541275204,2.2195615839547442,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.5201770362126464,1.571676523527899,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.512602652681471,1.540530984829005,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.9747177130435973,797.7760671123682,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.9747177130435973,797.7760671123682,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.9722176387242714,767.9982643353047,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.8177499307858258,4.884706865518128,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.8085926758464477,4.177552069940859,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.7593759687156637,3.3165338133196194,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.7055545782813557,2.813544613011057,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.6298213429078946,2.2991450244278733,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.5497154731010753,1.7055476986371818,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.1,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.5254274980894378,1.5699408588326047,gray,o,0.5,mean
plantnet,macro_cov,MacroCov,0.05,standard,Standard,Standard,,0.6540792547275104,2.7546284391874516,blue,X,0.8,mean
plantnet,macro_cov,MacroCov,0.05,classwise,Classwise,Classwise,,0.9926482102620768,896.9442015942402,red,X,0.8,mean
