Method,FracBelow50% $\downarrow$,UnderCovGap $\downarrow$,MacroCov $\uparrow$,MarginalCov (desired = 0.9),Avg. set size
Standard,0.404,0.41,0.513,0.906,1.54
Classwise,0.0,0.0069,0.972,0.91,718.0
Clustered,0.398,0.406,0.513,0.882,1.57
Standard w. PAS,0.167,0.193,0.755,0.902,2.57
Raw Fuzzy ($\sigma=0.00001$),0.125,0.144,0.813,0.903,5.02
Raw Fuzzy ($\sigma=0.01$),0.232,0.25,0.695,0.901,2.69
Raw Fuzzy ($\sigma=0.1$),0.3,0.312,0.623,0.898,2.22
Fuzzy ($\sigma=0.00001$),0.129,0.15,0.806,0.899,4.74
Fuzzy ($\sigma=0.01$),0.227,0.244,0.702,0.904,2.82
Fuzzy ($\sigma=0.1$),0.293,0.305,0.632,0.904,2.35
Interp-Q ($\tau=0.9$),0.265,0.286,0.647,0.896,2.12
Interp-Q ($\tau=0.99$),0.158,0.178,0.771,0.902,3.61
Interp-Q ($\tau=0.999$),0.099,0.112,0.85,0.906,6.55
